student_id,coach_id,relevance
barbara.amory@gmail.com,abe.ryland@gmail.com,1
barbara.franklin@gmail.com,abe.ryland@gmail.com,0
beatrice.lippincott@gmail.com,abe.ryland@gmail.com,5
bella.duveen@gmail.com,abe.ryland@gmail.com,5
barbara.amory@gmail.com,abigail@gmail.com,0
barbara.franklin@gmail.com,abigail@gmail.com,5
beatrice.lippincott@gmail.com,abigail@gmail.com,0
bella.duveen@gmail.com,abigail@gmail.com,0
barbara.amory@gmail.com,adela.marchmont@gmail.com,5
barbara.franklin@gmail.com,adela.marchmont@gmail.com,1
beatrice.lippincott@gmail.com,adela.marchmont@gmail.com,0
bella.duveen@gmail.com,adela.marchmont@gmail.com,0
barbara.amory@gmail.com,carl.reiter@gmail.com,5
barbara.franklin@gmail.com,carl.reiter@gmail.com,4
beatrice.lippincott@gmail.com,carl.reiter@gmail.com,0
bella.duveen@gmail.com,carl.reiter@gmail.com,0
barbara.amory@gmail.com,carlotta.adams@gmail.com,0
barbara.franklin@gmail.com,carlotta.adams@gmail.com,2
beatrice.lippincott@gmail.com,carlotta.adams@gmail.com,0
bella.duveen@gmail.com,carlotta.adams@gmail.com,0
